lat,lon,country,state,cod_municipio,county,elevation_m,ano,yield (kg/ha)
-23.1268797993,-52.07614905683032,Brazil,Parana,4102208,Atalaia,442.02,2019,2430.0
-23.1268797993,-52.07614905683032,Brazil,Parana,4102208,Atalaia,442.02,2020,3400.0
-23.1268797993,-52.07614905683032,Brazil,Parana,4102208,Atalaia,442.02,2021,2500.0
-23.1268797993,-52.07614905683032,Brazil,Parana,4102208,Atalaia,442.02,2022,1100.0
-23.1268797993,-52.07614905683032,Brazil,Parana,4102208,Atalaia,442.02,2023,4090.0
-23.1268797993,-52.07614905683032,Brazil,Parana,4102208,Atalaia,442.02,2024,2727.0
-25.49272857775,-49.69135318985162,Brazil,Parana,4102307,Balsa Nova,866.52,2016,3600.0
-25.49272857775,-49.69135318985162,Brazil,Parana,4102307,Balsa Nova,866.52,2017,3600.0
-25.49272857775,-49.69135318985162,Brazil,Parana,4102307,Balsa Nova,866.52,2018,3920.0
-25.49272857775,-49.69135318985162,Brazil,Parana,4102307,Balsa Nova,866.52,2019,3920.0
-25.49272857775,-49.69135318985162,Brazil,Parana,4102307,Balsa Nova,866.52,2020,3986.0
-25.49272857775,-49.69135318985162,Brazil,Parana,4102307,Balsa Nova,866.52,2021,3782.0
-25.49272857775,-49.69135318985162,Brazil,Parana,4102307,Balsa Nova,866.52,2022,3680.0
-25.49272857775,-49.69135318985162,Brazil,Parana,4102307,Balsa Nova,866.52,2023,4100.0
-25.49272857775,-49.69135318985162,Brazil,Parana,4102307,Balsa Nova,866.52,2024,3500.0
-23.15557627465,-50.34110285920418,Brazil,Parana,4102406,Bandeirantes,453.47,2016,3200.0
-23.15557627465,-50.34110285920418,Brazil,Parana,4102406,Bandeirantes,453.47,2017,3200.0
-23.15557627465,-50.34110285920418,Brazil,Parana,4102406,Bandeirantes,453.47,2018,3120.0
-23.15557627465,-50.34110285920418,Brazil,Parana,4102406,Bandeirantes,453.47,2019,2700.0
-23.15557627465,-50.34110285920418,Brazil,Parana,4102406,Bandeirantes,453.47,2020,3300.0
-23.15557627465,-50.34110285920418,Brazil,Parana,4102406,Bandeirantes,453.47,2021,3300.0
-23.15557627465,-50.34110285920418,Brazil,Parana,4102406,Bandeirantes,453.47,2022,2880.0
-23.15557627465,-50.34110285920418,Brazil,Parana,4102406,Bandeirantes,453.47,2023,3714.0
-23.15557627465,-50.34110285920418,Brazil,Parana,4102406,Bandeirantes,453.47,2024,1799.0
-24.0725720543,-52.01095027237064,Brazil,Parana,4102505,Barbosa Ferraz,435.58,2016,2680.0
-24.0725720543,-52.01095027237064,Brazil,Parana,4102505,Barbosa Ferraz,435.58,2017,3552.0
-24.0725720543,-52.01095027237064,Brazil,Parana,4102505,Barbosa Ferraz,435.58,2018,3200.0
-24.0725720543,-52.01095027237064,Brazil,Parana,4102505,Barbosa Ferraz,435.58,2019,2600.0
-24.0725720543,-52.01095027237064,Brazil,Parana,4102505,Barbosa Ferraz,435.58,2020,3550.0
-24.0725720543,-52.01095027237064,Brazil,Parana,4102505,Barbosa Ferraz,435.58,2021,3600.0
-24.0725720543,-52.01095027237064,Brazil,Parana,4102505,Barbosa Ferraz,435.58,2022,660.0
-24.0725720543,-52.01095027237064,Brazil,Parana,4102505,Barbosa Ferraz,435.58,2023,3900.0
-24.0725720543,-52.01095027237064,Brazil,Parana,4102505,Barbosa Ferraz,435.58,2024,2880.0
-26.25088796035,-53.54650531463223,Brazil,Parana,4102604,Barracão,533.01,2016,3450.0
-26.25088796035,-53.54650531463223,Brazil,Parana,4102604,Barracão,533.01,2017,3600.0
-26.25088796035,-53.54650531463223,Brazil,Parana,4102604,Barracão,533.01,2018,3800.0
-26.25088796035,-53.54650531463223,Brazil,Parana,4102604,Barracão,533.01,2019,3500.0
-26.25088796035,-53.54650531463223,Brazil,Parana,4102604,Barracão,533.01,2020,4500.0
-26.25088796035,-53.54650531463223,Brazil,Parana,4102604,Barracão,533.01,2021,4000.0
-26.25088796035,-53.54650531463223,Brazil,Parana,4102604,Barracão,533.01,2022,1620.0
-26.25088796035,-53.54650531463223,Brazil,Parana,4102604,Barracão,533.01,2023,4000.0
-26.25088796035,-53.54650531463223,Brazil,Parana,4102604,Barracão,533.01,2024,3900.0
-23.1072098969,-50.14699777092659,Brazil,Parana,4102703,Barra do Jacaré,482.82,2016,3400.0
-23.1072098969,-50.14699777092659,Brazil,Parana,4102703,Barra do Jacaré,482.82,2017,3469.0
-23.1072098969,-50.14699777092659,Brazil,Parana,4102703,Barra do Jacaré,482.82,2018,3392.0
